dataset,method,metric,epoch,mean,min,max,n_seeds
checkerboard,randomKTA,test_accuracy,46.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,5
checkerboard,randomKTA,test_accuracy,47.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,5
checkerboard,randomKTA,test_accuracy,48.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,5
checkerboard,randomKTA,test_accuracy,49.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,5
checkerboard,randomKTA,test_accuracy,50.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,5
checkerboard,randomKTA,test_accuracy,51.0,0.6,0.6,0.6,5
checkerboard,randomKTA,test_accuracy,52.0,0.6,0.6,0.6,5
checkerboard,randomKTA,test_accuracy,53.0,0.6,0.6,0.6,5
checkerboard,randomKTA,test_accuracy,54.0,0.6,0.6,0.6,5
checkerboard,randomKTA,test_accuracy,55.0,0.6,0.6,0.6,5
checkerboard,randomKTA,test_accuracy,56.0,0.6,0.6,0.6,5
checkerboard,randomKTA,test_accuracy,57.0,0.6,0.6,0.6,5
checkerboard,randomKTA,test_accuracy,58.0,0.6,0.6,0.6,5
checkerboard,randomKTA,test_accuracy,59.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,5
checkerboard,randomKTA,test_accuracy,60.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,5
checkerboard,randomKTA,test_accuracy,61.0,0.7,0.7,0.7,5
checkerboard,randomKTA,test_accuracy,62.0,0.7,0.7,0.7,5
checkerboard,randomKTA,test_accuracy,63.0,0.7,0.7,0.7,5
checkerboard,randomKTA,test_accuracy,64.0,0.7,0.7,0.7,5
checkerboard,randomKTA,test_accuracy,65.0,0.7,0.7,0.7,5
checkerboard,randomKTA,test_accuracy,66.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,5
checkerboard,randomKTA,test_accuracy,67.0,0.7333333333333333,0.7333333333333333,0.7333333333333333,5
checkerboard,randomKTA,test_accuracy,68.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,5
checkerboard,randomKTA,test_accuracy,69.0,0.8666666666666668,0.8666666666666667,0.8666666666666667,5
checkerboard,randomKTA,test_accuracy,70.0,0.8666666666666668,0.8666666666666667,0.8666666666666667,5
checkerboard,randomKTA,test_accuracy,71.0,0.8666666666666668,0.8666666666666667,0.8666666666666667,5
checkerboard,randomKTA,test_accuracy,72.0,0.8666666666666668,0.8666666666666667,0.8666666666666667,5
checkerboard,randomKTA,test_accuracy,73.0,0.8666666666666668,0.8666666666666667,0.8666666666666667,5
checkerboard,randomKTA,test_accuracy,74.0,0.8666666666666668,0.8666666666666667,0.8666666666666667,5
checkerboard,randomKTA,test_accuracy,75.0,0.8666666666666668,0.8666666666666667,0.8666666666666667,5
checkerboard,randomKTA,test_accuracy,76.0,0.8666666666666668,0.8666666666666667,0.8666666666666667,5
checkerboard,randomKTA,test_accuracy,77.0,0.8666666666666668,0.8666666666666667,0.8666666666666667,5
checkerboard,randomKTA,test_accuracy,78.0,0.8666666666666668,0.8666666666666667,0.8666666666666667,5
checkerboard,randomKTA,test_accuracy,79.0,0.8666666666666668,0.8666666666666667,0.8666666666666667,5
checkerboard,randomKTA,test_accuracy,80.0,0.9,0.9,0.9,5
checkerboard,randomKTA,test_accuracy,81.0,0.9,0.9,0.9,5
