method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
randomKTA,corners,4.0,50,0.95,0.99,0.83,0.92,0.9199679871948779,0.9199999999999999,0.9206730769230769,29.601156291999814,1020070,0.19606539607048035,0.23268474638462067
randomKTA,corners,6.0,50,0.95,0.99,0.83,0.94,0.9399038461538461,0.9399038461538461,0.9399038461538461,24.517281957999785,1020092,0.19606539607048035,0.3588213622570038
randomKTA,corners,8.0,50,0.95,0.98,0.83,0.92,0.9194847020933977,0.9237012987012987,0.9182692307692308,25.77197183399994,1020122,0.19606539607048035,0.31193697452545166
randomKTA,corners,10.0,50,0.95,0.98,0.83,0.94,0.9399038461538461,0.9399038461538461,0.9399038461538461,25.543738791999658,1020160,0.19606539607048035,0.3258771300315857
quackKTA,corners,2.0,50,0.95,0.97,0.83,0.89,0.8899889988998899,0.8926134082697712,0.8918269230769231,152.88402433299962,11190100,0.1977996677160263,0.2919839322566986
quackKTA,corners,4.0,50,0.95,0.97,0.83,0.89,0.8899889988998899,0.8926134082697712,0.8918269230769231,157.89228812500005,11190100,0.1977996677160263,0.2919839322566986
quackKTA,corners,6.0,50,0.95,0.97,0.83,0.89,0.8899889988998899,0.8926134082697712,0.8918269230769231,152.7289889169997,11190100,0.1977996677160263,0.2919839322566986
quackKTA,corners,8.0,50,0.95,0.97,0.83,0.89,0.8899889988998899,0.8926134082697712,0.8918269230769231,152.4668767910007,11190100,0.1977996677160263,0.2919839322566986
quackKTA,corners,10.0,50,0.95,0.97,0.83,0.89,0.8899889988998899,0.8926134082697712,0.8918269230769231,158.4517660829997,11190100,0.1977996677160263,0.2919839322566986
centroidBasedKTA,corners,2.0,500,0.95,0.95,0.83,0.92,0.9199679871948779,0.9199999999999999,0.9206730769230769,53.202926541000124,1039100,0.1664721816778183,0.1839497685432434
centroidBasedKTA,corners,4.0,500,0.95,0.99,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,60.219763082999634,1043100,0.1503462940454483,0.13653257489204407
centroidBasedKTA,corners,6.0,500,0.95,0.97,0.83,0.95,0.9499949994999499,0.9505802320928372,0.9511217948717949,59.27405416700003,1047100,0.1713453233242035,0.14987973868846893
centroidBasedKTA,corners,8.0,500,0.95,0.99,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,59.54291587500029,1051100,0.18077000975608826,0.14392516016960144
centroidBasedKTA,corners,10.0,500,0.95,0.98,0.83,0.94,0.9399759903961584,0.94,0.9407051282051282,60.123934041999746,1055100,0.1927756369113922,0.20102016627788544
greedyKTA,corners,2.0,50,0.95,0.99,0.83,0.9,0.9,0.9014423076923077,0.9014423076923077,29.372869915999217,1075056,0.19606539607048035,0.1814487725496292
greedyKTA,corners,4.0,50,0.95,1.0,0.83,0.88,0.8799519807923168,0.88,0.8806089743589745,29.955589332999807,1075070,0.19606539607048035,0.18757730722427368
greedyKTA,corners,6.0,50,0.95,0.97,0.83,0.9,0.8998397435897436,0.8998397435897436,0.8998397435897436,29.783481124999525,1075092,0.19606539607048035,0.20909395813941956
greedyKTA,corners,8.0,50,0.95,0.95,0.83,0.83,0.8299829982998299,0.830532212885154,0.8309294871794872,31.154903249999734,1075122,0.19606539607048035,0.1981309950351715
greedyKTA,corners,10.0,50,0.95,1.0,0.83,0.88,0.8795664391810518,0.8808373590982286,0.8790064102564102,30.839118957999744,1075160,0.19606539607048035,0.20599165558815002
fullKTA,corners,,60,0.95,0.99,0.83,0.96,0.959983993597439,0.96,0.9607371794871795,33.88442729200051,1231150,0.19606539607048035,0.4701937139034271
randomKTA,corners,2.0,60,0.95,0.91,0.83,0.78,0.7777777777777778,0.8022071307300509,0.7852564102564102,26.388211082999987,1221056,0.19606539607048035,0.1706322580575943
randomKTA,corners,4.0,60,0.95,0.98,0.83,0.92,0.9199679871948779,0.9199999999999999,0.9206730769230769,26.599034374999974,1221070,0.19606539607048035,0.2626635432243347
randomKTA,corners,6.0,60,0.95,1.0,0.83,0.94,0.9399038461538461,0.9399038461538461,0.9399038461538461,26.35689604199979,1221092,0.19606539607048035,0.3483911156654358
randomKTA,corners,8.0,60,0.95,1.0,0.83,0.96,0.959983993597439,0.96,0.9607371794871795,27.726444709000134,1221122,0.19606539607048035,0.3475729525089264
randomKTA,corners,10.0,60,0.95,0.99,0.83,0.95,0.949874686716792,0.9504215174628663,0.9495192307692308,27.392745167000612,1221160,0.19606539607048035,0.34699952602386475
quackKTA,corners,2.0,60,0.95,0.98,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,186.92480070800048,13422100,0.1977996677160263,0.29998382925987244
quackKTA,corners,4.0,60,0.95,0.98,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,178.70885045900013,13422100,0.1977996677160263,0.29998382925987244
quackKTA,corners,6.0,60,0.95,0.98,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,186.97633954100002,13422100,0.1977996677160263,0.29998382925987244
quackKTA,corners,8.0,60,0.95,0.98,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,178.4191881249999,13422100,0.1977996677160263,0.29998382925987244
quackKTA,corners,10.0,60,0.95,0.98,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,185.41221045800012,13422100,0.1977996677160263,0.29998382925987244
centroidBasedKTA,corners,2.0,600,0.95,0.95,0.83,0.92,0.9199679871948779,0.9199999999999999,0.9206730769230769,66.73453658399922,1240900,0.1664721816778183,0.1829901784658432
centroidBasedKTA,corners,4.0,600,0.95,0.99,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,67.61612254100055,1245700,0.1503462940454483,0.16543884575366974
centroidBasedKTA,corners,6.0,600,0.95,0.97,0.83,0.95,0.9499949994999499,0.9505802320928372,0.9511217948717949,59.202386624999235,1250500,0.1713453233242035,0.17415155470371246
centroidBasedKTA,corners,8.0,600,0.95,0.99,0.83,0.92,0.9199679871948779,0.9243156199677939,0.922275641025641,67.94083774999945,1255300,0.18077000975608826,0.16584308445453644
centroidBasedKTA,corners,10.0,600,0.95,0.98,0.83,0.94,0.9399759903961584,0.94,0.9407051282051282,69.09442837499955,1260100,0.1927756369113922,0.18088480830192566
greedyKTA,corners,2.0,60,0.95,0.97,0.83,0.91,0.9099189270343309,0.9097639055622249,0.9102564102564102,31.535547874999793,1287056,0.19606539607048035,0.17076492309570312
greedyKTA,corners,4.0,60,0.95,0.97,0.83,0.89,0.8899889988998899,0.8905562224889956,0.891025641025641,32.17142591599986,1287070,0.19606539607048035,0.18395531177520752
greedyKTA,corners,6.0,60,0.95,0.98,0.83,0.92,0.9198717948717949,0.9198717948717949,0.9198717948717949,32.13894416700077,1287092,0.19606539607048035,0.16661617159843445
