method,dataset,centroids,num_iterations,initial_training_accuracy,final_training_accuracy,initial_testing_accuracy,final_testing_accuracy,f1_score,precision,recall,training_time,circuit_executions,initial_kernel_alignment,final_kernel_alignment
centroidBasedKTA,donuts,2.0,100,0.8833333333333333,1.0,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8720538720538721,0.8687430478309233,29.038886958000035,84260,0.14359112083911896,0.15113966166973114
centroidBasedKTA,donuts,4.0,100,0.8833333333333333,1.0,0.8833333333333333,0.8,0.7963800904977376,0.8351648351648351,0.8053392658509455,29.231606,85060,0.14394433796405792,0.14017248153686523
centroidBasedKTA,donuts,6.0,100,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8666666666666667,0.8665183537263625,0.8665183537263625,0.8665183537263625,28.585577290999993,85860,0.14378607273101807,0.12595336139202118
centroidBasedKTA,donuts,8.0,100,0.8833333333333333,1.0,0.8833333333333333,0.8333333333333334,0.8316498316498316,0.8566392479435958,0.8375973303670745,28.918938749999995,86660,0.08763590455055237,0.14768801629543304
centroidBasedKTA,donuts,10.0,100,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.85,0.8499583217560434,0.8526785714285714,0.8515016685205784,28.386066000000028,87460,0.1271224021911621,0.1222795844078064
greedyKTA,donuts,2.0,10,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8833333333333333,0.883300916921367,0.8861607142857143,0.8848720800889878,20.65539870799995,85036,0.11800495535135269,0.1276688575744629
greedyKTA,donuts,4.0,10,0.8833333333333333,0.9833333333333333,0.8833333333333333,0.8333333333333334,0.8331479421579533,0.8383838383838383,0.8353726362625139,20.82602374999999,85050,0.11800495535135269,0.14225803315639496
greedyKTA,donuts,6.0,10,0.8833333333333333,0.9,0.8833333333333333,0.8333333333333334,0.8333333333333334,0.8342602892102335,0.8342602892102335,19.72783574999994,85072,0.11800495535135269,0.11997969448566437
greedyKTA,donuts,8.0,10,0.8833333333333333,0.9333333333333333,0.8833333333333333,0.8166666666666667,0.8166157265907197,0.8191964285714286,0.818131256952169,21.39772020800001,85102,0.11800495535135269,0.144113689661026
greedyKTA,donuts,10.0,10,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.8833333333333333,0.883300916921367,0.8833333333333333,0.8837597330367075,20.092001125000024,85140,0.11800495535135269,0.1302381008863449
fullKTA,donuts,,20,0.8833333333333333,1.0,0.8833333333333333,0.8333333333333334,0.8325892857142857,0.8457142857142858,0.8364849833147943,20.95841412499999,154290,0.11800495535135269,0.3217889368534088
